,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
0,,1,167301,方正富邦保险,08-25,1.261,1.3,3.02,5.26,4.91,15.9,26.86,35.23,72.23,0,30.94,30.2,26.79,0.08,,26.086100000000002
26,,27,001287,安信优势增长,08-25,1.3073,1.3073,1.79,4.03,6.8,17.26,14.9,20.6,28.17,0,20.6,30.73,18.34,0.1,,23.817699999999995
41,,42,001542,国泰互联网+,08-25,1.779,1.779,1.95,3.55,5.08,22.69,33.06,41.08,84.54,0,41.3,77.9,34.85,0.15,,22.939799999999995
27,,28,040008,华安策略优选,08-25,1.4719,3.0082,1.55,3.9,4.12,17.46,29.18,30.48,68.12,129.91,38.69,47.19,27.07,0.15,,21.427599999999998
1,,2,161723,招商中证银行,08-25,1.041,1.079,3.07,5.15,2.06,12.66,12.66,19.65,52.53,0,19.24,8.6,13.68,0.1,,20.754300000000004
38,,39,519033,海富通国策导,08-25,1.369,1.936,2.24,3.63,4.5,21.69,17.92,11.21,18.02,41.1,19.15,99.8,10.1,0.15,,20.446
6,,7,160517,博时中证银行,08-25,1.0296,1.0759,2.99,5.01,2.01,12.64,13.91,20.11,51.43,0,20.87,7.59,14.16,0.1,,20.336100000000002
5,,6,161121,易方达银行分,08-25,0.9681,1.0164,3.0,5.01,1.95,12.39,12.25,19.65,50.98,0,18.82,2.71,13.83,0.1,,20.144
17,,18,501301,华宝兴业香港,08-25,1.1031,1.1031,1.72,4.69,4.58,6.82,0.0,0.0,0.0,0,0.0,10.3,6.21,0.1,,20.0944
8,,9,001594,天弘中证银行,08-25,1.1232,1.1232,3.0,5.0,1.77,13.03,12.67,16.67,46.67,0,18.08,12.32,10.89,0.1,,19.9157
7,,8,001595,天弘中证银行,08-25,1.1166,1.1166,3.0,5.0,1.75,12.97,12.54,16.39,45.87,0,17.9,11.66,10.61,0.0,,19.8633
9,,10,160418,华安中证银行,08-25,0.9084,0.9523,3.0,4.98,1.79,12.04,11.82,16.42,38.48,0,17.46,-4.08,10.69,0.12,,19.602800000000002
10,,11,160631,鹏华银行分级,08-25,0.991,1.028,3.01,4.98,1.75,11.72,11.22,16.13,46.27,0,17.14,3.56,10.5,0.12,,19.551700000000004
23,,24,519005,海富通股票混,08-25,0.676,2.625,1.65,4.16,3.21,16.96,15.75,9.39,-7.9,7.99,17.98,190.52,7.2,0.15,,19.285199999999996
12,,13,168205,中融中证银行,08-25,0.936,0.98,2.97,4.93,1.63,11.83,11.16,16.0,45.15,0,17.0,-1.3,10.29,0.0,,19.2651
11,,12,161831,银华恒生国企,08-25,1.0197,1.0968,2.06,4.97,2.49,6.59,5.95,17.72,22.71,-3.81,15.86,10.52,11.25,0.12,,19.175500000000003
13,,14,161029,富国中证银行,08-25,1.066,1.106,3.0,4.92,1.52,11.86,10.58,16.51,48.5,0,16.89,11.22,10.93,0.12,,19.1296
3,,4,160717,嘉实恒生中国,08-25,0.8311,0.8311,2.08,5.02,2.38,4.92,5.97,18.09,23.93,3.68,15.82,-16.89,10.67,0.15,,18.9407
33,,34,519026,海富通中小盘,08-25,0.955,0.955,2.25,3.69,4.49,14.78,8.65,7.06,-4.31,-8.79,12.09,-4.5,5.13,0.15,,18.824099999999998
2,,3,160138,南方恒生中国,08-25,1.0655,1.0655,2.21,5.03,2.73,6.33,0.0,0.0,0.0,0,0.0,6.55,1.91,0.12,,18.775199999999998
20,,21,020021,国泰上证18,08-25,1.6992,1.6992,2.74,4.26,2.56,12.27,14.49,19.2,50.36,81.36,19.27,69.92,14.08,0.12,,18.7712
