,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
0,,1,167301,方正富邦保险,08-24,1.224,1.262,-0.16,3.91,2.0,16.46,23.14,30.72,58.37,0,27.1,26.38,26.79,0.08,,18.4181
15,,16,000934,国富大中华精,08-23,1.286,1.286,0.31,2.14,4.3,14.41,19.74,36.95,64.03,0,34.52,28.6,34.61,0.15,,15.797699999999999
16,,17,001287,安信优势增长,08-24,1.2843,1.2843,-0.11,2.14,4.77,16.71,12.88,18.48,25.79,0,18.48,28.43,18.34,0.1,,15.703499999999998
4,,5,519056,海富通内需热,08-24,1.057,1.057,0.09,2.62,4.04,13.05,9.42,7.97,-9.43,1.15,19.98,5.7,5.5,0.15,,14.9235
9,,10,040008,华安策略优选,08-24,1.4495,2.9858,0.14,2.55,1.74,17.22,27.22,28.56,56.65,123.69,36.58,44.95,27.07,0.15,,14.413699999999999
1,,2,001395,博时新趋势混,08-03,1.0694,1.0694,-0.03,3.0,3.7,7.19,0.49,4.12,6.83,0,1.0,6.94,0.0,0.1,,14.400699999999999
7,,8,118001,易方达亚洲精,08-22,0.921,0.921,0.88,2.56,2.68,5.74,14.69,23.29,34.65,11.64,25.99,-7.9,22.22,0.16,,12.9071
8,,9,161229,国投瑞银中国,08-22,1.405,1.455,1.08,2.55,2.41,6.04,13.67,21.23,0.0,0,23.25,47.51,19.93,0.15,,12.173800000000002
2,,3,160216,国泰商品,08-23,0.381,0.381,1.33,2.97,4.67,-10.14,-15.52,-10.98,-21.6,-53.76,-18.59,-61.9,-11.35,0.15,,11.478800000000001
47,,48,457001,国富亚洲机会,08-23,1.028,1.028,0.39,1.78,2.19,11.38,12.6,25.21,37.99,-8.21,20.94,2.8,22.73,0.15,,10.963300000000002
5,,6,161129,易方达原油A,08-23,0.876,0.876,1.0,2.58,4.09,-9.07,-11.35,0.0,0.0,0,-12.13,-12.4,-13.55,0.12,,10.433199999999998
6,,7,003321,易方达原油C,08-23,0.8737,0.8737,0.99,2.57,4.05,-9.17,-11.52,0.0,0.0,0,-12.35,-12.63,-13.78,0.0,,10.333599999999999
13,,14,160716,嘉实基本面5,08-24,1.4633,1.4633,-0.2,2.41,-0.19,12.53,14.21,27.23,45.15,120.34,20.6,46.33,25.3,0.12,,10.282100000000003
48,,49,110003,易方达上证5,08-24,1.2764,3.1264,-0.51,1.78,1.19,13.14,16.94,24.76,44.34,94.19,21.98,287.92,23.35,0.15,,10.273
11,,12,166011,中欧盛世成长,08-24,1.2479,2.4769,-0.15,2.48,1.32,7.15,2.95,0.39,18.51,76.19,3.13,209.04,-1.05,0.15,,10.181299999999998
36,,37,002297,方正富邦优选,08-24,1.185,1.185,0.0,1.89,1.89,9.72,11.48,15.05,0.0,0,14.6,18.5,13.41,0.0,,10.026599999999998
10,,11,001306,中欧永裕混合,08-24,0.906,0.906,-0.11,2.49,1.23,7.09,3.07,0.22,10.35,0,3.19,-9.4,-1.22,0.15,,10.012300000000002
26,,27,501301,华宝兴业香港,08-24,1.0845,1.0845,0.84,1.99,2.69,6.4,0.0,0.0,0.0,0,0.0,8.44,6.21,0.1,,9.9832
3,,4,519068,汇添富成长焦,08-24,1.7379,2.9269,0.53,2.75,-1.14,10.05,19.39,21.39,47.89,133.61,24.33,256.95,20.47,0.15,,9.8423
